,index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
14,9147,frozenset({'6470353'}),"frozenset({'6490353', '6480353'})",0.09478908188585608,0.0630272952853598,0.05806451612903226,0.612565445026178,9.719050171084636,0.05209021667518426,2.4184025216283285
15,9146,"frozenset({'6490353', '6480353'})",frozenset({'6470353'}),0.0630272952853598,0.09478908188585608,0.05806451612903226,0.9212598425196851,9.719050171084636,0.05209021667518426,11.496178660049631
16,3536,frozenset({'6490353'}),frozenset({'6480353'}),0.08238213399503722,0.0794044665012407,0.0630272952853598,0.7650602409638555,9.634977409638555,0.056485785886250146,3.918432270789592
17,3537,frozenset({'6480353'}),frozenset({'6490353'}),0.0794044665012407,0.08238213399503722,0.0630272952853598,0.79375,9.634977409638553,0.056485785886250146,4.449056320024061
18,3290,frozenset({'6152521'}),frozenset({'6112521'}),0.08535980148883375,0.07890818858560794,0.06401985111662531,0.75,9.504716981132075,0.057284263803114355,3.684367245657568
19,3291,frozenset({'6112521'}),frozenset({'6152521'}),0.07890818858560794,0.08535980148883375,0.06401985111662531,0.8113207547169811,9.504716981132074,0.057284263803114355,4.84759305210918
20,9399,frozenset({'878635'}),"frozenset({'888635', '858635'})",0.09379652605459057,0.05756823821339951,0.0511166253101737,0.544973544973545,9.466566320014596,0.045716924554673695,2.0711581741589242
21,9398,"frozenset({'888635', '858635'})",frozenset({'878635'}),0.05756823821339951,0.09379652605459057,0.0511166253101737,0.8879310344827586,9.466566320014595,0.045716924554673695,8.086123305974418
22,3494,frozenset({'6470353'}),frozenset({'6480353'}),0.09478908188585608,0.0794044665012407,0.06898263027295286,0.7277486910994765,9.165085078534032,0.061455953795664035,3.381418209581982
23,3495,frozenset({'6480353'}),frozenset({'6470353'}),0.0794044665012407,0.09478908188585608,0.06898263027295286,0.86875,9.165085078534032,0.061455953795664035,6.896845090393478
24,3287,frozenset({'6112521'}),frozenset({'6082521'}),0.07890818858560794,0.0749379652605459,0.05359801488833747,0.679245283018868,9.0641009621392,0.04768479579333658,2.8840169318347693
25,3286,frozenset({'6082521'}),frozenset({'6112521'}),0.0749379652605459,0.07890818858560794,0.05359801488833747,0.7152317880794703,9.064100962139198,0.04768479579333658,3.2345317098505406
26,7396,frozenset({'878635'}),"frozenset({'3029412', '888635'})",0.09379652605459057,0.06501240694789082,0.05359801488833747,0.5714285714285714,8.789531079607416,0.04750007696617799,2.181637717121588
27,7393,"frozenset({'3029412', '888635'})",frozenset({'878635'}),0.06501240694789082,0.09379652605459057,0.05359801488833747,0.8244274809160306,8.789531079607416,0.04750007696617799,5.161419786384725
28,9401,frozenset({'888635'}),"frozenset({'878635', '858635'})",0.10024813895781638,0.05806451612903226,0.0511166253101737,0.5099009900990099,8.781628162816281,0.0452957656287521,1.9219289670902573
29,9396,"frozenset({'878635', '858635'})",frozenset({'888635'}),0.05806451612903226,0.10024813895781638,0.0511166253101737,0.8803418803418803,8.781628162816281,0.0452957656287521,7.519354838709677
30,3289,frozenset({'6152521'}),frozenset({'6082521'}),0.08535980148883375,0.0749379652605459,0.05607940446650124,0.6569767441860465,8.76694132142307,0.04968271462788392,2.6967910165285778
